@RELATION comment
@ATTRIBUTE commentaires string
@ATTRIBUTE polarite real
@ATTRIBUTE class{Ambiance,Realisation,Scenario,Acteur}
@DATA
'vraie petite merveille bercee voix Montand ',8,Ambiance
'Acteurs sympathiques dialogues amusants seulement Preminger gommer cote piece theatre coup film passe monotone ',5,Realisation
'tres tres sympa maitre preminger ennuie jamais voir',8,Realisation
'voir histoire cinema sequences droles meme ensemble franchement ennuyeux ',2,Scenario
'loin Disney prefere histoire personnages completement farfelus continuent faire rever meme etant adulte valide ',10,Scenario
'film fou delirant survolte surprises',9,Ambiance
'magnifique dessin-anime Disney à faire decouvrir jeunes grands partager famille ',7,Scenario
'bon Disney humour fantastique once ennui ',7,Ambiance
'Decale drôle absurde fantastique dessin anime à voir absolument ',8,Ambiance
'film à berçer enfance annees voir moin 10 fois',8,Scenario
'sais film fidele livre dessin animee fou completement absurde',8,Ambiance
'conteste l’œuvre delirante loufoque Disney Apres d’annees c’est plaisant à regarder Indemodable ',8,Ambiance
'univers fantastique remplit lapin fleurs chantent ',8,Ambiance
'prefere loin livre meme disneys charme ',6,Ambiance
'disney à part epouse à perfection univers Lewis Carroll enchantement ',10,Scenario
'reflechi fallait vraiment inventer senatio histoire pareil meilleur disney ennui jamais seule logique logique ',10,Scenario
'Magique ',8,Ambiance
'chef oeuvre inoubliable Malgre qualites film burton arrive à cheville Genial à ',10,Realisation
'dessin-anime decale basculer incroyable monde reves petite fille ',7,Scenario
'bon disney plaira à aime prendre serieux ',10,Ambiance
'emotions fois pu regarder dessin-anime',9,Ambiance
'film terrorrisait etais gamine pense faut montrer jeunes enfants Ca perturbe ',4,Ambiance
'Franchement malsain Alice In Wonderland reflete etat esprit mauvais Disney conte dejà film à limite comestible ',1,Realisation
'adore vrai ça date vraiment faut voir jeune ;) adulte 30 ans regarde interessant xD ',10,Ambiance
'Magnifique lasse dessin anime haut couleurs univers dejante passionnant acec pleins personnages attachants ',10,Ambiance
'Walt Disney realise grands dessin-animes temps veritable chef-d’œuvre à voir fois vie ',10,Realisation
'classique Disney à sens incontournable ',9,Scenario
'Alice pays merveilles suit magie couleurs immoralite ambiante pourra satisfaire vieux branlette intellectuelle ',4,Scenario
'seul mot: Magique film bercer enfance pure poesie Lewis Caroll Disney ',10,Ambiance
