@RELATION comment
@ATTRIBUTE commentaires string
@ATTRIBUTE polarite real
@ATTRIBUTE class{Ambiance,Réalisation,Scénario,Acteur}
@DATA
'vraie petite merveille bercée voix Montand ',8,Ambiance
'Acteurs sympathiques dialogues amusants seulement Preminger gommer coté pièce théâtre coup film passe monotone ',5,Réalisation
'tres tres sympa maitre preminger ennuie jamais voir',8,Réalisation
'voir histoire cinéma séquences droles meme ensemble franchement ennuyeux ',2,Scénario
'loin Disney préféré histoire personnages complètement farfelus continuent faire rêver même étant adulte valide ',10,Scénario
'film fou délirant survolté surprises',9,Ambiance
'magnifique dessin-animé Disney à faire découvrir jeunes grands partager famille ',7,Scénario
'bon Disney humour fantastique once ennui ',7,Ambiance
'Décalé drôle absurde fantastique dessin animé à voir absolument ',8,Ambiance
'film à berçer enfance années voir moin 10 fois',8,Scénario
'sais film fidèle livre dessin animée fou complétement absurde',8,Ambiance
'conteste l’œuvre délirante loufoque Disney Après d’années c’est plaisant à regarder Indémodable ',8,Ambiance
'univers fantastique remplit lapin fleurs chantent ',8,Ambiance
'préfère loin livre même disneys charme ',6,Ambiance
'disney à part épouse à perfection univers Lewis Carroll enchantement ',10,Scénario
'réfléchi fallait vraiment inventer sénatio histoire pareil meilleur disney ennui jamais seule logique logique ',10,Scénario
'Magique ',8,Ambiance
'chef oeuvre inoubliable Malgré qualités film burton arrive à cheville Génial à ',10,Réalisation
'dessin-animé décalé basculer incroyable monde rêves petite fille ',7,Scénario
'bon disney plaira à aime prendre sérieux ',10,Ambiance
'émotions fois pu regarder dessin-animé',9,Ambiance
'film terrorrisait étais gamine pense faut montrer jeunes enfants Ca perturbe ',4,Ambiance
'Franchement malsain Alice In Wonderland reflète état esprit mauvais Disney conte déjà film à limite comestible ',1,Réalisation
'adoré vrai ça date vraiment faut voir jeune ;) adulte 30 ans regarde intéressant xD ',10,Ambiance
'Magnifique lasse dessin animé haut couleurs univers déjanté passionnant acec pleins personnages attachants ',10,Ambiance
'Walt Disney réalise grands dessin-animés temps véritable chef-d’œuvre à voir fois vie ',10,Réalisation
'classique Disney à sens incontournable ',9,Scénario
'Alice pays merveilles suit magie couleurs immoralité ambiante pourra satisfaire vieux branlette intellectuelle ',4,Scénario
'seul mot: Magique film bercer enfance pure poésie Lewis Caroll Disney ',10,Ambiance
'grand fan alice pays merveilles dessin-animé reste magique',7,Ambiance
'chef-d oeuvre classique Disney histoire étrange personnages culte chansons uniques ',10,Réalisation
'Histoire incroyable sublime musique charme ',10,Ambiance
'très bon Disney souvent inégal passages ennuyeux ',7,Ambiance
'chef oeuvre Disney histoire chansons uniques ',10,Réalisation
'super Walt Disney faut bizarreries soutenir comparaison livre Lewis Carroll joyeux non-anniversaire chèèèèèèèèèèèèèère',10,Réalisation
'forcement meilleur wall disney Alice pays merveilles reste bon film animation classique à voir exempt défaut ',8,Réalisation
'vrai Walt Disney à ancienne bourré musiques aiment ',6,Réalisation
'film deçu montre réalité cités françaises fiction film montrant vie réel ',4,Scénario
'adore tro film tré bonne vengeance',10,Ambiance
'western urbain lignée haine 6-t crack-er plutôt foutu interprété ',7,Ambiance
'film coup poing univers dur grand à équipe (scénariste réalisateur acteurs) ',6,Réalisation
'film vrai daupe montre realite cite acteur bidon scenar pourrie vrai naufrage eviter',1,Réalisation
'film coup poing acteur très bon réalité banlieue montré ici ',8,Acteur
'film met pauvre situation jeunes femmes sein banlieues chaudes monotone pouvoir emballer devrait ',2,Ambiance
'étoile déjà BO signée Cut Killer reste route difficulté malgré volonté réalisme correcte ',5,Réalisation
'bon film où met évidence travers banlieue reprochera doute être parfois lent morosité oblige bavard moments ',5,Ambiance
'Bon film montre près cité Paris ',5,Scénario
'Original ca montre côté féminin banlieues meilleur film sujet ',5,Scénario
'étoile uniquement parce fois voit angle vue femmes film cité reste rempli préjugés ça carbure exagérations ',2,Réalisation
'spécialiste question semble film peinture réaliste moeurs règne cités où bon vivre ',5,Scénario
'tres bon film cité tres joué fin optimiste',10,Scénario
'trouvé était bon film thème exploité très bons acteurs ',8,Acteur
'film coup poing',8,Réalisation
'détesté film effort dialogues <br/> acteurs parlent rue vulgairement <br/> respecte entendu public aimé film ',2,Ambiance
'film intérêt pire vie Pale imitation haine Rai film à éviter ',2,Scénario
'belle réalisation époque mal rebondissements acteurs marquants Philippe Klay excellents dépareillerait film Tarentino ',8,Réalisation
'action ennuyeuse scénario incompréhensible humour tombe à plat sauver tissu âneries à part peut-être sourire Cameron Diaz ',2,Scénario
'Charlie drôles dames heureusement humour second degrés Bill Murray viennent sauver reste rendre film minimum divertissant 7/20',4,Ambiance
'divertissement très second degré réunit habilement humour potache cinéma d’action d’aventure ',5,Scénario
'accord gros cul cul adore sais fois bordel adore cast génial humour cascades excellentes voila adore ',9,Ambiance
'film divertissant actrices sexy Sam Rockwell hilarant lorsqu‘il danse cigarette ',6,Acteur
'film vaut jolies miss-actrices casting ',6,Acteur
'trio sort remake drôle jouer même scène gros voulu ',7,Ambiance
'fouille cartons récupérer vieilles séries disparues faire film action bas gamme réelle imagination terrible à tirer casting ',4,Scénario
'film déjanté à mise scène dynamique parodiant célèbre série même nom Bill Murray impeccable personnage ',6,Réalisation
'Très faible scénaristiquement ',0.06,Scénario
'nullité absolue à peine divertissant film hisse pires films pu voir ',1,Réalisation
'mauvais film action ',4,Réalisation
'série devient film survitaminé moindre temps mort Divertissant prétention ',5,Ambiance
'actrices soient mauvaises très loin charme série ',2,Acteur
'mauvais permet passer bon moment inoubliable ',4,Ambiance
'Honnêtement trouve mauvais film ',2,Scénario
'Honnêtement trouve bon film ',8,Scénario
'divertissement honnéte pretention scénario original aurais nuit',4,Scénario
'scènes actions gros film point fort être très rythmés charme 3 actrices opérent à merveille',6,Acteur
'film action moque (légèrement ) films actions adore attache très à filles allier boulot petits copains ',10,Scénario
'trio super actrices convaincantes scénario passe bon moment ca arrête ',6,Scénario
'action humour scénario chercher loin loin série TV coup film râté ensemble malgré casting intéressant ',5,Réalisation
