@RELATION comment
@ATTRIBUTE commentaires string
@ATTRIBUTE polarite real
@ATTRIBUTE class{Scénario,Acteur,Réalisation,Ambiance}
@DATA
'tres bon film cité tres joué fin optimiste',10,Scénario
'trouvé était bon film thème exploité très bons acteurs ',8,Acteur
'film coup poing',8,Réalisation
'détesté film effort dialogues <br/> acteurs parlent rue vulgairement <br/> respecte entendu public aimé film ',2,Ambiance
'film intérêt pire vie Pale imitation haine Rai film à éviter ',2,Scénario
'belle réalisation époque mal rebondissements acteurs marquants Philippe Klay excellents dépareillerait film Tarentino ',8,Réalisation
'action ennuyeuse scénario incompréhensible humour tombe à plat sauver tissu âneries à part peut-être sourire Cameron Diaz ',2,Scénario
'Charlie drôles dames heureusement humour second degrés Bill Murray viennent sauver reste rendre film minimum divertissant 7/20',4,Ambiance
'divertissement très second degré réunit habilement humour potache cinéma d’action d’aventure ',5,Scénario
'accord gros cul cul adore sais fois bordel adore cast génial humour cascades excellentes voila adore ',9,Ambiance
'film divertissant actrices sexy Sam Rockwell hilarant lorsqu‘il danse cigarette ',6,Acteur
'film vaut jolies miss-actrices casting ',6,Acteur
'trio sort remake drôle jouer même scène gros voulu ',7,Ambiance
'fouille cartons récupérer vieilles séries disparues faire film action bas gamme réelle imagination terrible à tirer casting ',4,Scénario
'film déjanté à mise scène dynamique parodiant célèbre série même nom Bill Murray impeccable personnage ',6,Réalisation
'Très faible scénaristiquement ',0.06,Scénario
'nullité absolue à peine divertissant film hisse pires films pu voir ',1,Réalisation
'mauvais film action ',4,Réalisation
'série devient film survitaminé moindre temps mort Divertissant prétention ',5,Ambiance
'actrices soient mauvaises très loin charme série ',2,Acteur
'mauvais permet passer bon moment inoubliable ',4,Ambiance
'Honnêtement trouve mauvais film ',2,Scénario
'Honnêtement trouve bon film ',8,Scénario
'divertissement honnéte pretention scénario original aurais nuit',4,Scénario
'scènes actions gros film point fort être très rythmés charme 3 actrices opérent à merveille',6,Acteur
'film action moque (légèrement ) films actions adore attache très à filles allier boulot petits copains ',10,Scénario
'trio super actrices convaincantes scénario passe bon moment ca arrête ',6,Scénario
'action humour scénario chercher loin loin série TV coup film râté ensemble malgré casting intéressant ',5,Réalisation
'11 5 / 20 divertisement reste agréable malgré humour exploité ',5,Ambiance
'était à télé ça saoulé zappé seul truc pouvait retenir était Drew Barrymore pourri film',0.06,Acteur
'Film Génial action casting choisie :D ',10,Acteur
'film super passé hier soir M6 ',10,Scénario
'remake serie Cameron Diaz Drew Barrymore Lucy Liu',10,Acteur
'Divertissement 100% réussi Mention spéciale à Sam Rockwell GENIAL hab ',10,Ambiance
'pose sérieusement question concerne utilité genre film vide qualité plastique héroines ',2,Réalisation
'jamais filles belles même lourdingue ',0.06,Ambiance
'film suite cascade grand intérêt prétexte à déshabiller actrices scénario quasi inexistant ',1,Réalisation
'bon film donne plaisir à voir actions très sympathiques actrices sublimes jouent rôle bonne réalisation bon scénario ',7,Réalisation
'mouais plutot faible trio sympatique petillant glamour serie',5,Acteur
'Bon film action bons acteurs aimé à voir ',6,Acteur
'bonne comédie passe bon moment même préféré deuxième volet À voir ',7,Ambiance
'mauvais ensemble sauvé extrême justesse joli casting ',2,Acteur
'bonne petite comédie laisse aprécier ',5,Ambiance
'Malgré interprétation magistrale actrices principales film jamais loin simple illustration 12/20',6,Scénario
'Brillant réalisme film reste autant noir basé histoire vraie actrices impressionnantes justesse ',4,Acteur
'film très dur actrices excellentes histoire très bonne ',7,Acteur
'très bon film français belle tragédie bon psychodrame rôle à Sylvie Testud déjà très grande actrice ',8,Acteur
'vraiment aimer film croirais réell film peur sonctions prit fin film ',10,Ambiance
'viens voir dvd Long poussif rythme malsain Bref comprends critiques bon sujet gâché mise scéne soporifique ',2,Réalisation
'Effarant où manque mener ',9,Ambiance
'Incisif brillant dévastateur puissant cinéma français permet élever haut Très haut ',8,Scénario
'film ressemble à bon téléfilm joué Même prend libertés vérité historique ',5,Scénario
'Vraiment très bon film très très joué histoire (vraie) vraiment intéressante mise scène très soignée ',8,Réalisation
'film vraiment marquant hypnotisé mieux Sylvie Testud remarquable à regarder faute ',10,Acteur
'voir jeu actrices histoire caméra connaitre affaire étrange ',8,Acteur
'Blessures Assassines rende vrai actrices exceptionnelles ',8,Acteur
'sais aurait pensé Jacques Lacan film part trouvé époustoufflant Excellent points à voir urgence ',10,Scénario
'Rarement film trouvé particulièrement réussi interprétation Sylvie Testud irréprochable excellente réalisation ',10,Acteur
'Film très fin suggère impose explication sublimement joué bon moment plaisir préfère loin drôles dames-là ',10,Scénario
'jeunes actrices merveilleuses crèvent écran -P Denis mieux art : attend film ',10,Acteur
