@RELATION comment
@ATTRIBUTE commentaires string
@ATTRIBUTE polarite real
@ATTRIBUTE class{Localisation,Propreté,Chambre,Service,Literie,Qualité-Prix}
@DATA
'Hôtel très tenu, idéalement situé. check in check out très rapidement effectués. petit déjeuner, très copieux formule  à volonté  délicieux. chambres calmes, propres. recommander !',0.8,Localisation
'Hôtel très tenu, idéalement situé. check in check out très rapidement effectués. petit déjeuner, très copieux formule  à volonté  délicieux. chambres calmes, propres. recommander !',0.8,Propreté
'Hôtel très tenu, idéalement situé. check in check out très rapidement effectués. petit déjeuner, très copieux formule  à volonté  délicieux. chambres calmes, propres. recommander !',0.8,Chambre
'Hôtel très tenu, idéalement situé. check in check out très rapidement effectués. petit déjeuner, très copieux formule  à volonté  délicieux. chambres calmes, propres. recommander !',0.8,Service
'C est hôtel chaîne standards Ibis bonne mauvaise surprise. chambre n est grande très fonctionnelle. Salle bains baignoire. points forts l emplacement, à dizaine minutes à pieds gare Saint Pancras, pied métro Euston amène très rapidement centre Londres.',0.2,Chambre
'C est hôtel chaîne standards Ibis bonne mauvaise surprise. chambre n est grande très fonctionnelle. Salle bains baignoire. points forts l emplacement, à dizaine minutes à pieds gare Saint Pancras, pied métro Euston amène très rapidement centre Londres.',0.2,Localisation
'accueil très agréable à réception , hotel idéalement situé,à proximité gares St Pancras Euston à métro parfaitement isolé déco à fois reposante moderne ,',0.6,Service
'accueil très agréable à réception , hotel idéalement situé,à proximité gares St Pancras Euston à métro parfaitement isolé déco à fois reposante moderne ,',0.6,Localisation
'Hôtel très sympa, accueillant chaleureux, emplacement idéal, chambre à correcte, petit-déjeuner extra personnel restaurant très professionnel! clin d oeil spécial à Aurélia Tomas (ainsi qu à fille C/I)! accueil, disponibilité, gentillesse sourire!!! C était super! Kristel L.',0.4,Service
'Hôtel très sympa, accueillant chaleureux, emplacement idéal, chambre à correcte, petit-déjeuner extra personnel restaurant très professionnel! clin d oeil spécial à Aurélia Tomas (ainsi qu à fille C/I)! accueil, disponibilité, gentillesse sourire!!! C était super! Kristel L.',0.4,Localisation
'Hôtel très sympa, accueillant chaleureux, emplacement idéal, chambre à correcte, petit-déjeuner extra personnel restaurant très professionnel! clin d oeil spécial à Aurélia Tomas (ainsi qu à fille C/I)! accueil, disponibilité, gentillesse sourire!!! C était super! Kristel L.',0.4,Chambre
'Bon accueil, moderne, chambre prête dès l arrivée propre. Salle bain nickel.Ménage changement serviettes jours. Petit déjeuner anglais excellent buffet (même place affluence) resto mal (hamburger recommandé). Hôtel loin St Pancras à pied métro Euston à 5mn sorties quotidiennes. conseille.',0.9,Chambre
'Bon accueil, moderne, chambre prête dès l arrivée propre. Salle bain nickel.Ménage changement serviettes jours. Petit déjeuner anglais excellent buffet (même place affluence) resto mal (hamburger recommandé). Hôtel loin St Pancras à pied métro Euston à 5mn sorties quotidiennes. conseille.',0.9,Literie
'Bon accueil, moderne, chambre prête dès l arrivée propre. Salle bain nickel.Ménage changement serviettes jours. Petit déjeuner anglais excellent buffet (même place affluence) resto mal (hamburger recommandé). Hôtel loin St Pancras à pied métro Euston à 5mn sorties quotidiennes. conseille.',0.9,Propreté
'Bon accueil, moderne, chambre prête dès l arrivée propre. Salle bain nickel.Ménage changement serviettes jours. Petit déjeuner anglais excellent buffet (même place affluence) resto mal (hamburger recommandé). Hôtel loin St Pancras à pied métro Euston à 5mn sorties quotidiennes. conseille.',0.9,Service
'Bon accueil, moderne, chambre prête dès l arrivée propre. Salle bain nickel.Ménage changement serviettes jours. Petit déjeuner anglais excellent buffet (même place affluence) resto mal (hamburger recommandé). Hôtel loin St Pancras à pied métro Euston à 5mn sorties quotidiennes. conseille.',0.9,Localisation
'Hotel tres placé arrivent repartent saint pancras. été entièrement refait, moder décoré. restaurant sympa, lumineux petit-déjeuner tres copieux bons. chambres petites design, fonctionnelles confortables.',0.1,Localisation
'Hotel tres placé arrivent repartent saint pancras. été entièrement refait, moder décoré. restaurant sympa, lumineux petit-déjeuner tres copieux bons. chambres petites design, fonctionnelles confortables.',0.1,Service
'Hotel tres placé arrivent repartent saint pancras. été entièrement refait, moder décoré. restaurant sympa, lumineux petit-déjeuner tres copieux bons. chambres petites design, fonctionnelles confortables.',0.1,Chambre
'Impossibilité téléphoner Londres chambre: problème résolu 3 jours! Très difficile commander boissons bar, attente ++ obligation d aller chercher boisons... détails certes, à revoir d urgence!',0.3,Chambre
'Impossibilité téléphoner Londres chambre: problème résolu 3 jours! Très difficile commander boissons bar, attente ++ obligation d aller chercher boisons... détails certes, à revoir d urgence!',0.3,Service
'L hôtel très situé, personnel très disponible vraiment agréable. quartier très calme, vraiment reposant. breakfast parfait. Seul bémol, 2 chaînes TV françaises, n est vraiment suffisant !!!!!',0.7,Localisation
'L hôtel très situé, personnel très disponible vraiment agréable. quartier très calme, vraiment reposant. breakfast parfait. Seul bémol, 2 chaînes TV françaises, n est vraiment suffisant !!!!!',0.7,Service
'Hôtel situé à centaines mètres gare St Pancras. Station métro (Euston Station) à proximité. restaurants pubs l hôtel. chambres équipées, malgré petite taille. L insonorisation chambre très bonne. Personnel agréable à l écoute. recommande vivement hôtel.',0.6,Localisation
'Hôtel situé à centaines mètres gare St Pancras. Station métro (Euston Station) à proximité. restaurants pubs l hôtel. chambres équipées, malgré petite taille. L insonorisation chambre très bonne. Personnel agréable à l écoute. recommande vivement hôtel.',0.6,Chambre
'Confortable, moderne, chambre confortable bonne literie. Petit déjeuner très copieux choix. À 20 mn à pied Gare Pancras (Eurostar), British Museum quartier Camden Town. Personnel souriant chaleureux',0.8,Chambre
'Confortable, moderne, chambre confortable bonne literie. Petit déjeuner très copieux choix. À 20 mn à pied Gare Pancras (Eurostar), British Museum quartier Camden Town. Personnel souriant chaleureux',0.8,Literie
'Confortable, moderne, chambre confortable bonne literie. Petit déjeuner très copieux choix. À 20 mn à pied Gare Pancras (Eurostar), British Museum quartier Camden Town. Personnel souriant chaleureux',0.8,Service
'Confortable, moderne, chambre confortable bonne literie. Petit déjeuner très copieux choix. À 20 mn à pied Gare Pancras (Eurostar), British Museum quartier Camden Town. Personnel souriant chaleureux',0.8,Localisation
'Chambre refaite à arrivée à 21h00, avons êtés relogé ds chambre , surprise ! carreaux carrelage sdb cassés tranchant, wc sale, porte ferme , couette tachée ,dommage hotel situé bon accueil . nuit .......',0.2,Chambre
'Chambre refaite à arrivée à 21h00, avons êtés relogé ds chambre , surprise ! carreaux carrelage sdb cassés tranchant, wc sale, porte ferme , couette tachée ,dommage hotel situé bon accueil . nuit .......',0.2,Service
'Chambre refaite à arrivée à 21h00, avons êtés relogé ds chambre , surprise ! carreaux carrelage sdb cassés tranchant, wc sale, porte ferme , couette tachée ,dommage hotel situé bon accueil . nuit .......',0.2,Localisation
'Hotel très raisonnable prix, prises électriques sorties mur, chambre correcte, refaite terme sol peinture longtemps. cabine douche à refaire, joins commencent à partir',0.6,Qualité-Prix
'Hotel très raisonnable prix, prises électriques sorties mur, chambre correcte, refaite terme sol peinture longtemps. cabine douche à refaire, joins commencent à partir',0.6,Chambre
